beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Tiffin Gold,Kirkby Lonsdale Brewery,Golden Ale,3.6,0,,,,,,,,3.5,19/09/2018 20:35,https://untappd.com/c/653492275,https://untappd.com/beer/38707,https://untappd.com/brewery/9582,England,Kirkby Lonsdale,Cumbria,,Yorkshire Dales National Park,Cask,653492275,38707,9582,https://untappd.s3.amazonaws.com/photos/2018_09_19/3c4b8fada663a900c1a1d0412b3cc80e_raw.jpg,3.39,3.47,,1,0
Kirkstone Pass Inn,Marston's House Brewery,English Bitter,3.6,0,"Slightly vinegary, not very good. Sent back by one of our group.",,,,,,,2.5,20/09/2018 09:24,https://untappd.com/c/653686470,https://untappd.com/beer/2759853,https://untappd.com/brewery/431774,England,Burton-on-Trent,England,,,Cask,653686470,2759853,431774,https://untappd.s3.amazonaws.com/photos/2018_09_20/86d4f78d21f68795c6a2bc27e9bc0bca_raw.jpg,3.28,3.63,,0,0
John Smith's Original Ale,John Smith's,English Bitter,3.6,0,Do you know what?  It’s not that bad. And this was the ‘Extra Cold’ haha.,The Boathouse,Bexleyheath,Greater London,United Kingdom,51.4546,0.12278,3.25,07/10/2018 22:05,https://untappd.com/c/661314164,https://untappd.com/beer/284704,https://untappd.com/brewery/1816,England,Tadcaster,North Yorkshire,"light,creamy,smooth",The Boathouse,Draft,661314164,284704,1816,https://untappd.s3.amazonaws.com/photos/2018_10_07/5647e6ae1af7f1ec087e7b30baf2ad2b_raw.jpg,2.89,2.9,,0,0
Yu Lu,Siren Craft Brew,Pale Ale - American,3.6,0,"Very easy-going and sessionable. Nice, subtle malt to finish.",CAMRA's Spa Valley Railway Real Ale & Cider Festival,Tunbridge Wells,Kent,United Kingdom,51.1238,0.253356,4,22/10/2018 07:55,https://untappd.com/c/667066184,https://untappd.com/beer/2016173,https://untappd.com/brewery/55184,England,Wokingham,Berkshire,light,CAMRA's Spa Valley Railway Real Ale & Cider Festival,Cask,667066184,2016173,55184,https://untappd.s3.amazonaws.com/photos/2018_10_22/60e65932e8c47a1523971dc36631c042_raw.jpg,3.5,3.5,,0,0
Gale's Seafarers Ale,Fuller's Brewery,English Bitter,3.6,0,Quite a bitter finish.,,,,,,,3.5,18/09/2019 11:45,https://untappd.com/c/806281062,https://untappd.com/beer/240278,https://untappd.com/brewery/3296,England,London,Greater London,bitter,Montys,Cask,806281062,240278,3296,https://untappd.s3.amazonaws.com/photos/2019_09_18/dc981c259feebf4213be69c95e63ddab_raw.jpg,3.21,3.22,,0,0
Otter Bitter,Otter Brewery,English Bitter,3.6,0,A shit pub and a poorly kept ale.,,,,,,,2,12/10/2019 01:48,https://untappd.com/c/815951921,https://untappd.com/beer/45927,https://untappd.com/brewery/2993,England,Honiton,Devon,,,Cask,815951921,45927,2993,https://untappd.s3.amazonaws.com/photos/2019_10_12/f5ce7a7da0aa7db5d2eb8ba4c82abbca_raw.jpg,3.33,3.34,,0,0
Cold Spark,Big Smoke Brew Co.,Pale Ale - Milkshake,3.6,0,"Not much sweetness from the lactose, but great nonetheless.",The Flintgate,Weybridge,Surrey,United Kingdom,51.373,-0.440119,4,08/03/2020 20:10,https://untappd.com/c/876070825,https://untappd.com/beer/2266636,https://untappd.com/brewery/157464,England,Esher,Surrey,"hoppy,citrus",The Flintgate,Draft,876070825,2266636,157464,https://untappd.s3.amazonaws.com/photos/2020_03_08/98cc0a87fff1e1347d40dcad5320a495_raw.jpg,3.55,3.56,,1,0
Tetley's Bitter,Joshua Tetley & Son,English Bitter,3.7,0,,The Forum,Hatfield,Hertfordshire,United Kingdom,51.7502,-0.242058,2,26/07/2014 18:07,https://untappd.com/c/102382509,https://untappd.com/beer/44113,https://untappd.com/brewery/183905,England,Leeds,West Yorkshire,,,,102382509,44113,183905,,2.96,2.98,,0,0
Ruddles Best,Greene King,English Bitter,3.7,0,,,,,,,,3,15/04/2015 10:58,https://untappd.com/c/172949914,https://untappd.com/beer/37603,https://untappd.com/brewery/612,England,Bury St Edmunds,Suffolk,,,,172949914,37603,612,,3.02,3.03,,0,0
Ludlow Best,Ludlow Brewing Company,English Bitter,3.7,0,,Ludlow Brewing Co,,,United Kingdom,52.367,-2.71391,4,24/04/2015 19:06,https://untappd.com/c/175699480,https://untappd.com/beer/227716,https://untappd.com/brewery/10240,England,Ludlow,Shropshire,,,,175699480,227716,10240,,3.43,3.5,,0,0
